Name	Age (Ernst) [Ma]	Continental or oceanic?	Start Age [Ma]	Start Age sigma [Ma]	End Age [Ma]	End Age sigma [Ma]	Duration [Ma]	Eruption rate [km3/yr]	Age reference	Comments	Volume [km3]	Volume range [km3]	Volume reference	Location(s)	Ernst cited reference
Tarim	280	Continental	292.4	0.5	288	1	4.4	0.17	doi.org/10.1016/j.jseaes.2011.05.009		751000		doi.org/10.1016/j.gr.2016.10.019	Asia	"Zhang and Zou, 2013–this issue"
Jutland (Skagerrak)	300	Continental	302	2	292	2	10	0.05	doi.org/10.1016/j.epsl.2007.12.004		500000		doi.org/10.1016/j.epsl.2007.12.004	Europe	"Kirstein et al., 2004"
Kennedy–Connors–Auburn	320–280	Passive Margin	320	5	280	5	40	0.01	doi.org/10.1016/j.oregeorev.2012.04.007		500000		doi.org/10.1017/CBO9781139025300	Australia (NE margin)	"Pirajno and Hoatson, 2012"
Yakutsk (Viluy)	380	Continental	376.7	0.85	364.4	0.85	12.3	#VALUE!	doi.org/10.1016/j.palaeo.2013.06.020	Possible correlates in Pripyat-Dnieper-Donets rift	NaN		doi.org/10.1016/j.epsl.2010.09.045	Siberia	"Kiselev et al., 2012"
Baltica- Kola Pen. (Kola-Dneiper)	380	Continental	378.64	0.23	364	3.1	14.64	#VALUE!	doi.org/10.1017/CBO9781139025300		NaN	Spans 3E6 km2 area but depth unknown	doi.org/10.1017/CBO9781139025300	Baltica	"Ernst and Bell, 2010"
Suordakh	450	Continental	450	12	444	11	6	#VALUE!	doi.org/10.1016/j.lithos.2012.08.008		NaN	"Spans 11,000 km2 area?"	doi.org/10.1016/j.lithos.2012.08.008	Siberia	"Khudoley et al., 2013–this issue"
Kalkarindji (Antrim Plateau Volcanics)	510	Continental	508	2.5	498.3	2.75	9.7	#VALUE!	doi.org/10.1144/jgs2018-035	Previously considered part of Kalkarindji	NaN
Kalkarindji (sills)	510	Continental	512.8	0.8	509	1.3	3.8	#VALUE!	doi.org/10.1130/G35434.1		NaN	"Spans  2.1E6 km2 area, but depth unknown. Minimum 500,000 (Glass and Phillips 2006)"	doi.org/10.1016/j.oregeorev.2012.04.007 doi: 10.1130/G22122.1	Australia	"Pirajno and Hoatson, 2012"
Wichita	540–530	Passive Margin	539	5	530	5	9	0.03	doi.org/10.1016/j.lithos.2012.06.003		250000		doi.org/10.1016/j.lithos.2012.06.003	Laurentia	"Hanson et al., 2013–this issue"
"Central Iapetus- Sept Iles, Catoctin, Volyn"	560–550	Passive Margin	560	5	550	5	10	#VALUE!	doi.org/10.1017/CBO9781139025300		NaN			Laurentia (east) & Baltica	"Ernst and Bell, 2010"
Central Iapetus- Ouarzazate	560–550	Passive Margin	560	5	550	5	10	#VALUE!	doi.org/10.1017/CBO9781139025300		NaN			West Africa	"Ernst and Bell, 2010"
Central Iapetus- Grenville	590	Passive Margin	592	5	588	5	4	#VALUE!	"10.1017/CBO9781139025300, but range not given"		NaN			Laurentia (east) & Baltica	"Ernst and Bell, 2010"
"Central Iapetus- Long Range, Baltoscandian, Egersund"	615	Passive Margin	615	5	610	5	5	#VALUE!	doi.org/10.1017/CBO9781139025300		NaN			Laurentia (east) & Baltica	"Ernst and Bell, 2010"
Franklin	725–715	Passive Margin?	719.47	0.15	716.33	0.27	3.14	#VALUE!	"10.1130/L435.1, 10.1126/science.1183325"		NaN	Spans 2.25E6 km3		Laurentia (north)	"Ernst et al., 2008"
