Number	Period	Age/Stage below boundary	Age/Stage above boundary	GTS 2012 Age	GTS 2012 Age Uncert (95% / 2-sigma)	Age [Ma]	Age sigma [Ma]	Mean corrected sampled within bin diversity	Mean Extinction Rates	Max extinction rates	Min extinction rates	Comments, if updated from GTS2012	Age Reference
1	Quaternary	Holocene	TOP	0		0	1.00E-06	NA	NA	NA	NA	Note: ages are for base of named age/stage
44	Jurassic	Sinemurian	Pliensbachian	190.8	1	190.8	0.5	159.5126825	0.207720266	0.426229508	0
45	Jurassic	Hettangian	Sinemurian	199.3	0.4	199.3	0.2	98.54685752	-0.001120267	0.15	-0.145833333
46	Jurassic	Rhaetian	Hettangian	201.3	0.2	201.36	0.085	204.5505536	0.603282372	0.704761905	0.486238532	Schoene 2012 (10.1130/G30683.1) recalculated by Wotzlaw 2014 (10.1130/G35612.1)	http://doi.org/10.1130/G30683.1
47	Triassic	Norian	Rhaetian	209.5	1	209.5	0.5	352.9088005	0.463330228	0.606060606	0.299212598
48	Triassic	Carnian	Norian	228.4	2	228.4	1	327.7937134	0.19358812	0.363636364	0.022556391
49	Triassic	Ladinian	Carnian	237	1	237	0.5	301.7390804	0.297841668	0.418604651	0.186440678
50	Triassic	Anisian	Ladinian	241.5	1	241.5	0.5	247.8393208	0.086750942	0.35	-0.166666667
51	Triassic	Olenekian	Anisian	247.1	0.2	247.1	0.1	184.927537	0.234708282	0.444444444	0
52	Triassic	Induan	Olenekian	250	0.5	250	0.25	96.91689392	0.462950985	0.685714286	0.133333333
53	Triassic	Changhsingian	Induan	252.2	0.5	251.902	0.024	192.050383	0.750002425	0.862068966	0.558139535	H. Parvus FAD from Burgess et al. 2015	http://doi.org/10.1126/sciadv.1500470
54	Permian	Wuchiapingian	Changhsingian	254.2	0.3	254.2	0.15	192.0205112	0.058657201	0.279569892	0
55	Permian	Capitanian	Wuchiapingian	259.8	0.3	259.8	0.15	270.8899943	0.344523777	0.459893048	0.226993865
56	Permian	Wordian	Capitanian	265.1	0.4	265.1	0.2	296.3222025	0.127190422	0.255555556	0.005154639
57	Permian	Roadian	Wordian	268.8	0.5	268.8	0.25	344.5991922	0.123398691	0.229166667	0.011049724
58	Permian	Kungurian	Roadian	272.3	0.5	272.3	0.25	355.812396	0.195027578	0.302469136	0.093023256
59	Permian	Artinskian	Kungurian	279.3	0.6	279.3	0.3	308.6503937	0.100846152	0.251798561	-0.007092199
60	Permian	Sakmarian	Artinskian	290.1	0.2	290.1	0.1	257.3142949	0.012041583	0.135338346	-0.10619469
61	Permian	Asselian	Sakmarian	295.5	0.4	295.5	0.2	204.0190143	0.123655413	0.29787234	0
62	Permian	Gzhelian	Asselian	298.9	0.2	298.9	0.1	145.6609137	0.135067569	0.319444444	-0.029850746
63	Carboniferous	Kasimovian	Gzhelian	303.7	0.1	303.7	0.05	186.3313787	0.083956784	0.232758621	-0.018691589
64	Carboniferous	Moscovian	Kasimovian	307	0.2	307	0.1	258.4479077	0.27593015	0.432692308	0.12244898
65	Carboniferous	Bashkirian	Moscovian	315.2	0.2	315.2	0.1	315.2842386	0.181986662	0.385542169	0
66	Carboniferous	Serpukhovian	Bashkirian	323.2	0.4	323.2	0.2	216.2024672	-0.006531039	0.036036036	-0.105263158
67	Carboniferous	Visean	Serpukhovian	330.9	0.4	330.9	0.2	235.6286229	0.365676675	0.5	0.216981132
68	Carboniferous	Tournasian	Visean	346.7	0.4	346.7	0.2	254.1463686	0.20571343	0.392405063	0.035294118
69	Carboniferous	Famennian	Tournasian	358.9	0.4	358.9	0.2	211.8308679	0.499163107	0.677419355	0.290909091
70	Devonian	Frasnian	Famennian	372.2	1.6	371.855	0.075	177.2395263	0.222562711	0.392523364	0.064516129	Extinction interval from Percival et al. 2018	http://doi.org/10.1038/s41598-018-27847-7
71	Devonian	Givetian	Frasnian	382.7	1	382.7	0.5	218.8184138	0.408542553	0.530201342	0.298136646
72	Devonian	Eifelian	Givetian	387.7	0.8	387.7	0.4	327.9643075	0.322853635	0.431279621	0.199004975
73	Devonian	Emsian	Eifelian	393.3	1.2	393.3	0.6	461.4848134	0.359765131	0.458333333	0.239583333
74	Devonian	Pragian	Emsian	407.6	2.6	407.6	1.3	376.3867883	0.014092375	0.134408602	0
75	Devonian	Lochkovian	Pragian	410.8	2.8	410.8	1.4	274.3238461	0.076480659	0.201834862	-0.010204082
76	Devonian	Pridoli	Lochkovian	419.2	3.2	419.2	1.6	247.4768826	0.187614697	0.297101449	0.078947368
77	Silurian	Ludfordian	Pridoli	423	2.3	423	1.15	268.3974232	0.245119492	0.366197183	0.088235294
78	Silurian	Gorstian	Ludfordian	425.6	0.9	425.6	0.45	237.7602844	0.002031034	0.116788321	-0.047945205
79	Silurian	Homerian	Gorstian	427.4	0.5	427.4	0.25	258.667409	0.076053712	0.172661871	-0.0234375
80	Silurian	Sheinwoodian	Homerian	430.5	0.7	430.5	0.35	229.2176823	-0.007939911	0.007575758	-0.091603053
81	Silurian	Telychian	Sheinwoodian	433.4	0.8	433.4	0.4	232.9339821	0.260110874	0.428571429	0.132075472
82	Silurian	Aeronian	Telychian	438.5	1.1	438.5	0.55	154.1071299	0.018938427	0.196078431	-0.06
83	Silurian	Rhuddanian	Aeronian	440.8	1.2	440.8	0.6	98.81966695	-0.014623882	0.12	-0.217391304
84	Silurian	Hirnantian	Rhuddanian	443.8	1.5	443.8	0.75	186.5752162	0.345799761	0.5	0.166666667
85	Ordovician	Katian	Hirnantian	445.2	1.4	445.2	0.7	395.7880687	0.528063478	0.653594771	0.337837838
86	Ordovician	Sandbian	Katian	453	0.7	453	0.35	359.8180078	0.085393772	0.245283019	0
87	Ordovician	Darriwilian	Sandbian	458.4	0.9	458.4	0.45	387.6750004	0.57048726	0.721311475	0.4
88	Ordovician	Dapingian	Darriwilian	467.3	1.1	467.3	0.55	250.0745805	-0.001233219	0	-0.075
89	Ordovician	Floian	Dapingian	470	1.4	470	0.7	279.3043539	0.432433542	0.605263158	0.285714286
90	Ordovician	Tremadocian	Floian	477.7	1.4	477.7	0.7	NA	NA	NA	NA
91	Ordovician	Stage 10	Tremadocian	485.4	1.9	485.4	0.95	NA	NA	NA	NA
92	Cambrian	Jiangshanian	Stage 10	489.5	2	489.5	1	NA	NA	NA	NA
93	Cambrian	Paibian	Jiangshanian	494	2	494	1	NA	NA	NA	NA
94	Cambrian	Guzhangian	Paibian	497	2	497	1	NA	1	1	1
95	Cambrian	Drumian	Guzhangian	500.5	2	500.5	1	NA	NA	NA	NA
96	Cambrian	Wuliuan	Drumian	504.5	2	504.5	1	NA	NA	NA	NA
97	Cambrian	Stage 4	Wuliuan	509	1	509	0.5	NA	0.852895111	0.977272727	0.70212766
98	Cambrian	Stage 3	Stage 4	514	2	514	1	332.8635249	0.848071635	0.977272727	0.666666667
99	Cambrian	Stage 2	Stage 3	521	2	521	1	85.73782027	0.263250301	0.545454545	0
100	Cambrian	Fortunian	Stage 2	529	2	529	1	NA	NA	NA	NA
101	Cambrian	Series 1	Fortunian	541	1	541	0.5	NA	NA
102	Ediacaran		Series 1	635		635
